id,first_name,last_name,birth_date,salary
1,Jobi,Polglase,7/14/1987,"$1,638.08 "
2,Roseann,Checkley,5/14/1995,"$3,558.18 "
3,Kalle,Gillebert,,"$5,855.74 "
4,Angel,Cream,10/29/2013,"$1,303.36 "
5,Esta,Tombleson,6/19/1977,$482.52 
6,Florinda,Meegan,,"$1,159.05 "
7,Jessica,Brimham,5/11/1982,"$2,675.00 "
8,Timofei,Sivell,8/18/1961,"$4,806.65 "
9,Celina,Lisett,,"$7,653.16 "
10,Neill,Chafney,,"$4,658.47 "
11,Violette,Kinnie,,"$5,798.34 "
12,Leann,Tolson,,"$6,454.44 "
13,Cortney,Thursfield,11/3/2020,"$5,778.00 "
14,Dolorita,Planke,,"$6,202.53 "
15,Neale,Du Hamel,,"$4,606.55 "
16,Garv,de Bullion,,"$7,592.91 "
17,Delbert,Krier,,"$3,076.74 "
18,Celina,Stutt,,"$7,151.77 "
19,Mae,Hacker,,"$7,397.90 "
20,Teodorico,Neljes,11/13/1996,"$4,919.06 "
21,Dave,Ungaretti,10/4/1989,"$5,441.21 "
22,Fons,Keays,7/24/1963,$658.57 
23,Carly,Whates,1/31/2018,$236.39 
24,Camey,Thurlborn,5/1/2020,"$1,605.82 "
25,Rafi,Coombe,11/26/1993,"$6,737.30 "
26,Marj,Fendley,,$79.36 
27,Shayna,Bonsale,,"$2,129.76 "
28,Amitie,Bicker,10/5/2003,"$1,625.73 "
29,Katti,Arman,,"$1,788.25 "
30,Dina,Toy,,"$2,074.97 "
31,Orlan,McCarl,,$46.46 
32,Teena,Clibbery,,"$5,135.11 "
33,Lindsey,Spurr,,"$7,652.42 "
34,Modestine,Totterdill,11/26/2013,"$3,129.52 "
35,Ax,Embling,,"$5,530.46 "
36,Nedda,McOwan,9/26/1983,"$3,496.14 "
37,Felike,Tinman,,"$7,252.81 "
38,Rodney,Beushaw,,$772.70 
39,Harley,Muldrew,,"$4,430.42 "
40,Faythe,Petters,8/18/1994,"$4,076.17 "
41,Caz,Peagrim,7/25/2008,"$1,839.70 "
42,Shell,Sommerlin,,"$7,340.87 "
43,Dodie,Cansdale,4/3/2021,"$2,267.57 "
44,Zarla,Ingleson,5/5/2018,"$5,793.20 "
45,Tony,Elford,,"$2,951.30 "
46,Anet,Drowsfield,2/1/2016,"$1,194.46 "
47,Morissa,Bellamy,,"$6,713.48 "
48,Selina,Glave,12/17/2018,"$3,030.41 "
49,Vergil,Jaukovic,5/20/2001,"$5,687.31 "
50,Eveleen,Paye,8/30/2003,$489.11 
